Timestamp,LogLevel,Source,MessageID,Message
2024-03-30T14:17:00Z,DEBUG,DataSyncService,8279,Payment processing failed.
2024-03-30T14:17:00Z,ERROR,InventoryService,2613,Sync completed for data source XYZ.
2024-03-30T14:17:00Z,DEBUG,PaymentService,8360,User login successful.
2024-03-30T14:17:00Z,DEBUG,AuthService,5615,Sync completed for data source XYZ.
2024-03-30T14:17:00Z,WARN,PaymentService,4983,User login successful.
2024-03-30T14:17:00Z,ERROR,InventoryService,8095,Sync completed for data source XYZ.
2024-03-30T14:17:00Z,DEBUG,InventoryService,9262,Low stock for item ID 12345.
2024-03-30T14:17:00Z,WARN,AuthService,1824,Payment processing failed.
2024-03-30T14:17:00Z,ERROR,DataSyncService,3475,User login successful.
2024-03-30T14:17:00Z,DEBUG,InventoryService,1953,Sync completed for data source XYZ.
