Timestamp,LogLevel,Source,MessageID,Message
2024-03-30T14:17:00Z,DEBUG,DataSyncService,8542,User login successful.
2024-03-30T14:17:00Z,INFO,DataSyncService,2659,Payment processing failed.
2024-03-30T14:17:00Z,INFO,InventoryService,7891,Low stock for item ID 12345.
2024-03-30T14:17:00Z,WARN,InventoryService,6756,Sync completed for data source XYZ.
2024-03-30T14:17:00Z,INFO,DataSyncService,9948,User login successful.
2024-03-30T14:17:00Z,INFO,DataSyncService,5753,Payment processing failed.
2024-03-30T14:17:00Z,ERROR,PaymentService,2396,Payment processing failed.
2024-03-30T14:17:00Z,WARN,PaymentService,3510,Low stock for item ID 12345.
2024-03-30T14:17:00Z,ERROR,PaymentService,8777,Payment processing failed.
2024-03-30T14:17:00Z,DEBUG,AuthService,1221,User login successful.
